project_id,uid,project_name,abstract,conclusion,achievement,certificate,certificate_level,create_at
50,120,湖南长沙书院项目,2018年暑期我和团队成员去到湖南长沙开展以“传统书院教育对当代大学教育的启示”为主题的社会实践活动。,传统书院教育中的尊师重教、导师制等方面对如今的教育有着重要的启示,撰写实习报告一份。,,其他,2019/9/13 1:04
51,120,重庆红色基地实践学习,该项目为学生处公费全额资助项目，主要是鼓励大学生走出课堂，到实地去感受红色经典文化。,重庆作为一座历史悠久的城市，见证了时间的更迭，值得被人们铭记。,实践报告一份,,其他,2019/9/13 1:06
53,120,北京汇思创杰管理咨询有限公司实习,自2016年12月开始，本人即开始跟随该司总经理实习工作，主要承担了项目助理工作。跟进公司各类项目，主要负责现场维护以及会议纪要整理。先后参与华为北研所心理咨询EAP项目、京东方集团人才举荐项目、中化岩土并购主题纬度公司的组织架构调整等项目。,该司总经理一直耐心教导，让我的大学学习与实践学习并轨，受益良多。,我主要是负责相关会议纪要的整理和领导出差事宜的打理。,,其他,2019/9/13 1:12
54,124,《河北省女大学生HPV疫苗接种现状调查分析》,对河北省女大学生HPV疫苗接种现状进行数据收集，分析数据，得出结论，提出建议。,河北省女大学生对HPV了解较少，分析影响因素，提出建议。,完成分析报告作品，获得省级一等奖。,public/img/stu/124/project/124_f3b60c06.jpeg,省市级,2019/9/13 1:18
56,124,《宠问》,一款宠物健康生活服务型软件,完成商业计划书,在第八届全国大学生电子商务“创新、创意及创业”挑战赛河北大学校赛选拔赛获二等奖,public/img/stu/124/project/124_fafb0b97.jpeg,其他,2019/9/13 1:25
57,124,农村电子商务平台设计,设计一款为涉农企业和广大农民提供及时有效的农商信息和便捷安全的农商交易平台,平台设计初步成型并完成商业计划书,在河北大学“2018年校级大学生创新创业训练计划项目”结项评审中评为良好,public/img/stu/124/project/124_61d0347f.jpeg,其他,2019/9/13 1:26
58,139,O2O模式对大学生生活的影响,基于双边市场理论对O2O模式目前存在的问题及解决措施进行分析。,O2O平台应加强第三方机构监督，提升自身平台创新能力，以吸引消费者,完成论文《基于双边市场理论的O2O应用平台研究》，并获得校级大创项目二等奖。,public/img/stu/139/project/139_727b0906.jpeg,省市级,2019/9/13 1:44
59,139,社会信任的影响因素,研究社会信任的影响因素及其作用机制,高等教育通过提升个体主观社会地位以及个体的幸福感来提升个体的社会,完成论文《高等教育对社会信任的影响及其作用机制》，并发表在消费导刊。,,省市级,2019/9/13 1:46
61,140,中国林业市场监测预警体系政策研究报告,通过分析美国农林业监测预警体系和我国农业市场信息监测预警体系，总结了林业市场监测体系的发展历程和成果，分析尚存主要问题，并据此提出完善林产品市场监测预警体系建议。,建议整合现有监测资源建设一个较全面的林产品市场监测预警智慧系统。,尚未发表,public/img/stu/140/project/140_99d1ca61.jpeg,其他,2019/9/13 2:06
62,132,市场调查与分析,以开封市在校大学生为调查对象，探寻开封市旅游年卡的市场需求现状,形成作品《开封市旅游年卡市场需求现状研究-基于开封市在校大学生的,获得“正大杯”全国大学生市场调查与分析大赛省级二等奖,public/img/stu/132/project/132_de5bcbaa.jpeg,省市级,2019/9/13 2:07
63,132,百县千村人口流动调研与数据库建设项目,基于河南省内处于不同区位条件下15个村庄的经济社会发展整体情况，各调研组分别对自己所获数据整理分析，从不同视角进行专题研究，分别形成了相应的专题报告,我的工作主要是作为调研员前往调研地进行实地调研获取科研所需数据,我的成就在于做好初步的调研数据的处理分析，为老师们进一步的科研工作做好准备工作,,其他,2019/9/13 2:10
64,141,大创《湖滨带土地利用异质性对大庆城市湖泊湿地水环境,本研究以湖泊湿地水环境质量为主线，在以往研究的基础上，选取大庆市区的6个典型湖泊湿地，基于水质监测结果以及高分辨率卫星遥感影像目视解译，对研究区域内湖泊湿地周边缓冲区这一特定区域，尝试采取多空间尺度开展土地利用方式与水环境质量之间的相关性研究。,城市湖泊湿地水质受缓冲区土地利用方式的影响显著，且具有尺度依赖性, “一种湖泊景观水微循环治理系统”获得了实用新型专利证书。,public/img/stu/141/project/141_daebb438.png,国家级,2019/9/13 2:14
66,140,国际上森林城市发展的主要经验与政策启示,搜集并梳理国外森林城市案例与文献（60篇），搜集、校对数据（187个）并进行处理（用Tableau作图分析）。,城市人口和城市GDP成正比，人均GDP与绿化覆盖率成反比。,该报告于2019年3月获得国家林业和草原局的肯定性批示，为推动森林城市相关工作发挥重要作用。,public/img/stu/140/project/140_da605d4d.jpeg,其他,2019/9/13 2:21
67,141,全国林业创新创业大赛,项目位于江西省宜春市袁州区飞剑潭风景区。规划设计利用当地闲置资源，民宿主人参与接待，通过特色化、共享化、林业化三点打造体验式民宿，突出林业特色和优势，助力乡村振兴战略和林业产业转型升级。,《“林家小憩”体验式民宿规划设计》规划文本。,获全国半决赛入围奖,public/img/stu/141/project/141_8fe5c789.jpeg,国家级,2019/9/13 2:23
68,145,南京农业大学大学生srt项目,《城市双修背景下城市品质提升的研究——以南京市孝陵卫地区为例》,城市品质的提升可以从城市双修方面着手，目的都是建设宜居城市,课题已结项,public/img/stu/145/project/145_2cab4268.jpeg,其他,2019/9/13 2:31
69,155,发表论文,《会计信息化下的中小企业云会计建设》,《会计信息化下的中小企业云会计建设》,《会计信息化下的中小企业云会计建设》,public/img/stu/155/project/155_3e85701e.jpeg,其他,2019/9/13 2:37
70,152,大学生就业匹配问题研究—基于大庆市三所高校的调查分,本项目针对大学生就业匹配问题进行研究，主要从专业设置角度进行调查研究，并得出结论。,工科、技术类专业就业匹配度高；人文类、管理类就业匹配度低。,项目最终获得黑龙江省省级评定。并且，我曾以第一作者身份发表论文《大学生专业设置与就业匹配的问题研究》,public/img/stu/152/project/152_186dedb4.jpeg,省市级,2019/9/13 2:41
71,140,基于多源异构信息资源的科学前沿探测方法研究,对汽车喷油嘴的加工流程数据进行清洗并分析，找出加工流程关键位置，为改进加工工艺以便减少不合格率提供参考。,找到工艺流程中部分不合格率高、异常值明显的关键流程。,暂无,public/img/stu/140/project/140_cbb5e0ec.jpeg,省市级,2019/9/13 2:42
72,155,论文,《中小企业最优存货管理》,《中小企业最优存货管理》,《中小企业最优存货管理》,public/img/stu/155/project/155_ed019d06.jpeg,其他,2019/9/13 2:43
73,154,第三届全国高校互联网金融应用创新大赛,2018年11月，我和我的团队参加了第三届全国高校互联网金融应用创新大赛，顺利通过初赛并于11月25日去河北秦皇岛参加复赛。此次比赛主要是对金融企业活动进行互联网模拟。,互联网金融公司要综合运用内外部有利要素，实现企业利润的最大化。,取得了省级第二名的优异成绩。我的团队协作能力、实践操作能力和专业知识能力都有所提升。,public/img/stu/154/project/154_279d91c4.jpeg,省市级,2019/9/13 2:47
74,154,2018年创新创业训练项目,"2018年4月，我与同学一起申报了河北大学大学生创新训练计划项目《一丛""金""黄APP-互联网金融+精准扶贫助力农民创收》，通过对农村地区的走访和问卷调研，对互联网金融助力精准扶贫的进程进行了调查分析。",互联网金融助力农村精准扶贫的作用越来越大，有待深入研究。,2019年6月，该项目顺利结项，获得评委老师的认可和好评。通过此项目，我逐渐掌握了调研活动的研究性方法，也认识到调研活动的价值和重要性。,public/img/stu/154/project/154_5e1de2d5.jpeg,其他,2019/9/13 2:51
78,168,《青岛上市公司内部控制评价体系的研究》的校创项目,主要内容为研究青岛上市公司内部控制评价体系及其内部控制评价报告的问题及改进方式，并用改进的评价体系评价海尔的内部控制。,历时一年完成1万3千字的论文，经历中期与最终答辩获得通过,在此期间，我们查找了青岛29家上市公司的内部控制评价报告，手工整理了青岛上市公司内部控制评价报告的披露情况，并查找大量相关文献了解内部控制评价体系，我们借鉴《企业内部控制评价指标体系研究》中内部控制评价指标的构架方法，设计了的两层级指标体系。,,其他,2019/9/13 3:29
79,169,低温胁迫对柳叶马鞭草生理的影响,将植物放入不同低温环境下、不同时间处理，通过测量生理指标，得到植物在低温环境下生理变化,试验得出，随着温度的降低和低温胁迫时间的延长，柳叶马鞭草植物叶片,结题报告,,其他,2019/9/13 4:02
80,169,虎耳草与活血丹对异质性光照条件适应的比较分析,通过不同植物在不同光质条件下，有无连接茎处理，得到克隆整合植物应对光照条件改变时的生理变化。,试验结果得出，对异质性光照强度适应性从高到低依次为活血丹、马蹄金,结题报告,,其他,2019/9/13 4:05
81,137,《让胶东之花活起来：对高密茂腔的现状调研及分析》,如何让胶东之花活起来，团队从三个角度展开，第一进行抢救性保护，利用现代科技手段对老艺人，剧本，剧目等进行记录；第二，高密茂腔自身进行改革创新，在保留高密茂腔独特性的前提下，取其精华，去其糟粕，从编、导、演、舞美四个角度进行创新，巩固老年观众，培养年轻观众,尽管国家与政府大力支持，但高密茂腔受全球化的影响，现状不容乐观。,第十六届“挑战杯”全国大学生课外学术科技竞赛省一等奖（团队负责人）；2018年“创青春”海尔山东省大学生创业大赛省铜奖（团队第二负责任人）,public/img/stu/137/project/137_6ee7b032.jpeg,省市级,2019/9/13 4:06
83,27,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究,我国煤矸石排放量大，危害严重，需要有效和安全的处理方法。本项目以煤矸石为研究对象，通过一系列实验，验证木霉菌对煤矸石生态复垦的效果。研究结果能够揭示木霉菌促进煤矸石生态复垦的机制和生态风险，也为我国煤矸石的生态复垦和利用提供了新的方法。,中等剂量的木霉菌促进煤矸石绿化效果最好,,,,
84,91,农村居民网购现状及发展,以陕西省彬州市为例，通过网络与实地调研分析得出彬州市农村居民的网络购物现状与问题，提出建议，促进农村地区网购的健康发展。,以陕西省彬州市农村地区为例，主要存在农村地区基础设施建设不完备及,成绩优秀，被评为校一等奖。调研论文总结出促进彬州市农村地区网购发展的措施：加快健全农村物流体系，解决“最后一公里”问题，普及网购方法，激发农民网购热情，加强监管，保证网络安全。,public/img/stu/91/project/91_0201d89e.jpeg,其他,2019/9/13 5:15
85,175,参与本专业老师的河北省第三次全国农业普查研究课题,2018年7月参与到我院杨江澜老师的河北省第三次全国农业普查研究课题《河北省乡村振兴与农村劳动力供需问题研究》。课题研究过程中，我主要负责借助投入产出表运用投入产出分析方法，进行河北省农村地区产业发展与劳动力供需差异分析。,为农村地区经济社会发展奠定政策和实践研究基础,获得重点课题二等奖,public/img/stu/175/project/175_ed934199.jpeg,省市级,2019/9/13 5:16
87,175,大学生创新创业训练项目,2017年10月，参加了大学生创新创业训练项目《河北省巴氏奶消费市场开拓问题研究》，参与设计问卷、资料搜集，负责后期调研数据汇总以及结题论文撰写。,通过具体分析为促进巴氏奶市场进一步开拓和企业制定相关策略提供依据,国家级立项并顺利结项,public/img/stu/175/project/175_d635bea7.jpeg,国家级,2019/9/13 5:21
88,173,生态校园与景观装置模拟对比实验,以植入景观装置为媒介促进校园生态发展，以模拟对比的手法进行景观装置的设计推敲，通过校园景观装置的介入，改善内蒙古工业大学校园生态建设缺乏现状，提高校园环境的热舒适度体验，为学生，教师及附近居民提供一个开放性绿色校园，加强内蒙古工业大学的生态校园建设。,该景观装置有效改善了校园的室外环境热舒适度，促进生态校园的建设。,1、发表国家级期刊《中国高新科技》论文一篇，题为《生态校园与景观装置模拟对比实验——以内蒙古工业大学为例》；2、获得实用新型专利《生态校园装配式景观装置》一项，专利号：2019 2 0401829.0；3、代表内蒙古工业大学科创项目接受内蒙古电视台采访。,public/img/stu/173/project/173_9ba49ae0.jpeg,省市级,2019/9/13 5:45
89,91,工作论文《女孩学业梦更难？—来自CFPS2016的证据》,文章利用中国家庭追踪调查（CFPS）2016年的数据，研究当前中国庭人力资本投资中的性别差异，研究发现，中国家庭的人力资本投资中仍存在性别歧视，这一结果存在异质性。,农村户籍、兄弟姐妹越多、父亲职业地位越低的群体该现象更严重。,贡献在于：一使用了最新的2016年数据，对当前家庭人力资本投资性别差异情况进行验证与更新。二对于目前研究较少关注到不同的父母职业背景下家庭人力资本投资性别差异的情况作补充。三重点比较独生家庭与非独生家庭在此问题上的差异，为生育政策放开后配套措施出台提供依据,,其他,2019/9/13 5:45
90,173,乌梁素海零能耗集合式生土住居设计,项目通过建筑材料的选取，建筑围护结构的保温和节能以及被动式太阳能的利用进行生土住居研究设计。使之性能改良，资源利用率提高，使这种绿色传统生土住居得以延续发展。,生土住居的抗震性能有很大提升，生活品质有很大改善，并且绿色节能。,获得内蒙古工业大学第十一届大学生节能减排社会实践与科技竞赛第一名,public/img/stu/173/project/173_99d9978c.jpeg,其他,2019/9/13 5:52
91,185,暂无科研项目,无,无,无,public/img/stu/185/project/185_904028f0.jpeg,其他,2019/9/13 5:57
92,173,空间句法视角下的动态复合景观构筑设计研究,本项目在学习借鉴国内外关于动态景观、多功能景观构筑的研究基础上，引入空间句法理论，对城市游憩空间中的景观构筑进行量化分析，以期对景观构筑的探索分析提供一个新的视角。引入空间句法理论也增加了该理论在景观构筑量化研究方面工具化应用的可能性。,空间句法进行城市分析使项目选址更加科学合理，功能综合满足人们需求,第一发明人获得外观设计专利《房门》一项，专利号：ZL 2018 3 0755049.7；,public/img/stu/173/project/173_fdd7497b.jpeg,其他,2019/9/13 5:57
93,187,国家实用新型专利《一种伸缩式球网架》,一种伸缩式球网架是我们在上体育课时偶然观察得到的灵感，因为经常会发现有的有的体育馆里没有设球网架，很多同学就直接把球拍扔地上，无人管理，有的有球网架，但是已经生锈，非常不安全，于是我们想到做一个伸缩式的球网架，它可以挂在墙上，不会占用太多空间，方便管理。,获得国家实用新型专利,获得国家实用新型专利,public/img/stu/187/project/187_9bc7f0f5.jpeg,国家级,2019/9/13 6:36
95,187,国家实用新型专利一种用于环境艺术设计用的画图设备,在太行山写生测绘时想到做这样一个轻便可伸缩成很小的画图设备，方便在室外进行设计绘图。与现有技术相比，它的特色在于颜料盒能够靠于凹槽内，四个支撑杆上均设置有磁铁，将画布或者画纸放于四个支撑杆上方时，可在画布或者画纸上附着磁铁进行按压，这样也更不容易伤纸。,已受理，正在审核中,已受理，正在审核中,public/img/stu/187/project/187_9aa7eaf3.jpeg,国家级,2019/9/13 6:41
