project_id,uid,project_name,abstract,conclusion,achievement,certificate,certificate_level,,,,,,,,,
38,160,云南省应用基础研究青年项目,云南省应用基础研究青年项目，西南林业大学科研启动基金，云南省高校优势特色重点学科（生态学）建设项目，国家林业局生态学科重点,常绿阔叶林和云南松林下灌草和凋落物具有较高的碳氮贮能力，滇油杉的碳氮贮潜力较大,《水土保持研究》上发表《滇中亚高山典型森林林下植被碳氮储量及其分配格局》,1536987821,省市级,,,,,,,,,
39,122,第三届花园杯植物景观设计竞赛,植物、雾霾、与人的关系，校园绿地的教育性,通过景观的营造实现校园绿地的使用人群对对雾霾问题的反思,营造雾霾教育主题的校园绿地，获得特等奖,,省市级,,,,,,,,,
40,160,云南省应用基础研究青年项目,云南省应用基础研究青年项目，西南林业大学科研启动基金，云南省高校优势特色重点学科（生态学）建设项目，国家林业局生态学科重点,5种林分的生态系统碳储量表现为：常绿阔叶林>华山松>滇油杉>云南松>高山栎,《生态环境学报》上发表《滇中亚高山典型森林生态系统碳储量及其分配特征》,1536988531,国家级,,,,,,,,,
41,124,北京市级大学生创新项目,基于Meta分析的微生物对土壤和水体Cd、Pb、Zn去除率研究,结题优秀,论文修改准备发表,,省市级,,,,,,,,,
42,190,第八届全国大学生机械创新设计大赛,利用课余时间，利用自己所学创造机器，在今年7月参加全国比赛，获得一等奖,科研一定坚持不懈,获得全国一等奖,,国家级,,,,,,,,,
43,205,河大家,大学生创业训练项目,项目盈利能力和发展前景良好,商业计划书、微信服务号,1536999567,省市级,,,,,,,,,
46,212,儿童眼镜保护架,为了让孩子从小养成爱护眼睛和眼镜的习惯，我们专门为儿童设计了一款眼镜保护架，此产品充分考虑了美观性与趣味性，是市场上没有出现过的产品。,,中国大学生计算机设计大赛二等奖,1537001644,省市级,,,,,,,,,
48,119,瓦楞纸板建造,每组均在规定的时间里，用40张瓦楞纸板，螺栓和麻绳，通过对于材料性能的认识，发挥想象力，搭建出有内部使用空间、造型别具一格的纸板建筑。,,首届清风小镇创意艺术节创意建造一等奖,,省市级,,,,,,,,,
49,119,纸板建造,每组均在规定的时间里，用40张瓦楞纸板，螺栓和麻绳，通过对于材料性能的认识，发挥想象力，搭建出有内部使用空间、造型别具一格的纸板建筑。,,大连民族大学第二届建造节暨纸板建筑设计与建造竞赛二等奖,,省市级,,,,,,,,,
51,162,中国大学生广告艺术节学院奖第16届春季赛,无,无,佳作奖,1537020212,国家级,,,,,,,,,
52,162,第11届中国大学生计算机设计大赛,傣族服饰纹样设计,,二等奖,1537021715,省市级,,,,,,,,,
54,210,第15届学院奖春季赛佳作奖(国家级),第15届学院奖春季赛佳作奖(国家级), 第15届学院奖春季赛佳作奖(国家级), 第15届学院奖春季赛佳作奖(国家级),1537025101,国家级,,,,,,,,,
55,210,第九届大广赛吉林赛区二等奖,第九届大广赛吉林赛区二等奖,第九届大广赛吉林赛区二等奖,第九届大广赛吉林赛区二等奖,1537025370,省市级,,,,,,,,,
56,210,第九届大广赛吉林赛区优秀奖,第九届大广赛吉林赛区优秀奖,第九届大广赛吉林赛区优秀奖,第九届大广赛吉林赛区优秀奖,1537025647,省市级,,,,,,,,,
57,210,第九届大广赛吉林赛区优秀奖2,第九届大广赛吉林赛区优秀奖2,第九届大广赛吉林赛区优秀奖2,第九届大广赛吉林赛区优秀奖2,1537025790,省市级,,,,,,,,,
58,210,2015-2016 校级一等奖学金,2015-2016 校级一等奖学金,2015-2016 校级一等奖学金,2015-2016 校级一等奖学金,1537025963,省市级,,,,,,,,,
59,210,2015-2016 院优秀学生,2015-2016 院优秀学生,2015-2016 院优秀学生,2015-2016 院优秀学生,1537026057,省市级,,,,,,,,,
60,210,2016-2017 校级二等奖学金,2016-2017 校级二等奖学金,2016-2017 校级二等奖学金,2016-2017 校级二等奖学金,1537026170,省市级,,,,,,,,,
61,210,2016-2017 院优秀学生,2016-2017 院优秀学生,2016-2017 院优秀学生,2016-2017 院优秀学生,1537026257,省市级,,,,,,,,,
62,248,专利,“亭子”外观设计专利,,为第一主创人,,国家级,,,,,,,,,
64,248,专利,“亭子”外观设计专利一种生物农药释放的新型装实用新型专利“一种牙膏管”实用新型专利“书屋”外观设计专利,,第一个专利为第一主创人；其他专利为设计人,,国家级,,,,,,,,,
65,251,论文,研究室内设计中的色彩，挑选白色为主要色彩。,发表论文,《工程技术》-《浅析室内设计中的色彩-白色》,,国家级,,,,,,,,,
66,251,论文,选取当下最看重的问题--生态问题，研究在住宅方面如何做到绿色可持续发展。,发表论文,《中国住宅设施》--《生态住宅设计在当下的发展》,,国家级,,,,,,,,,
67,251,途家在上海地铁展位设计,针对途家的三种房源，以纸艺为主题进行设计,为途家的宣传奠定基础,成功展出,,国家级,,,,,,,,,
68,245,2017CIMA全球商业精英挑战赛,华东赛区20强,无,无,1537064980,国家级,,,,,,,,,
70,245,2017年全国大学生英语竞赛,全国二等奖,无,无,1537065075,国家级,,,,,,,,,
71,245,2018年全国大学生英语竞赛,全国三等奖,无,无,1537065170,国家级,,,,,,,,,
73,259,2017年GMC国际企业管理挑战赛,以队长身份参加2017年国际企业管理挑战赛,以学校第一的身份进入国赛,全国三等奖,,国家级,,,,,,,,,
74,259,2017年校企业经营模拟竞赛,北京信息科技大学经济管理学院企业经营模拟竞赛&国际企业管理挑战赛校内选拔赛,一等奖,一等奖,,,,,,,,,,,
75,259,北京奥利维亚设计有限公司,2017年北京信息科技大学大学生创业设计大赛“”,一等奖,一等奖,,,,,,,,,,,
76,259,Green World创意设计,北京信息科技大学“大学生创意大赛”,二等奖,二等奖,,,,,,,,,,,
77,245,外研社杯全国英语阅读大赛初赛,全国一等奖,无,无,1537066080,国家级,,,,,,,,,
78,259,我国共享单车企业发展现状及存在的问题,2018年大学生科技创新项目,以公开发表论文《基于永安行的发展现状透视共享单车行业存在的问题》,项目在研,,省市级,,,,,,,,,
79,259,物联网金融模式下我国商业银行贷前控制研究,物联网金融模式下我国商业银行贷前控制研究,以公开发表,已在《中国商论》杂志公开发表,,,,,,,,,,,
80,259,北京市三好学生,2015-2016学年北京市三好学生,北京市三好学生,北京市三好学生,,省市级,,,,,,,,,
81,259,永安行发展现状透视共享单车行业存在问题,基于永安行的发展现状透视共享单车行业存在的问题,已公开发表,已在《现代经济信息》杂志公开发表,,,,,,,,,,,
82,259,2018年夏优秀本科生暑期境外交流,日本上智大学短期交流,,已结束,,,,,,,,,,,
83,259,2016-2017学年北京市先进班集体,北京市先进班集体,,2016-2017学年北京市先进班集体,,省市级,,,,,,,,,
84,259,2016-2017学年国家奖学金,国家奖学金,,国家奖学金,,国家级,,,,,,,,,
85,259,2016-2017学年学习优秀奖一等学金,学习优秀奖学金一等奖,,学习优秀奖学金一等奖,,,,,,,,,,,
86,259,2016-2017学年社会贡献奖学金,社会贡献奖学金,,社会贡献奖学金,,,,,,,,,,,
87,259,2015-2016学年社会贡献奖学金,社会贡献奖学金,,社会贡献奖学金,,,,,,,,,,,
88,259,2015-2016学年学习优秀一等奖学金,学习优秀一等奖学金,,学习优秀一等奖学金,,,,,,,,,,,
89,275,“科云杯”全国财会职业能力大赛一等奖,“科云杯”全国财会职业能力大赛一等奖,“科云杯”全国财会职业能力大赛一等奖,“科云杯”全国财会职业能力大赛一等奖,1537073143,国家级,,,,,,,,,
90,275,河北省2017新道杯会计技能大赛二等奖,河北省2017年“新道杯”高等学校会计技能大赛学生组二等奖,河北省2017年“新道杯”高等学校会计技能大赛学生组二等奖,河北省2017年“新道杯”高等学校会计技能大赛学生组二等奖,1537073312,省市级,,,,,,,,,
93,132,2017挑战杯科技学术竞赛,《京津冀发展背景下太行山片区乡村旅游精准扶贫模式创新研究-以保定三坡镇为例》通过实地调研野三坡，探索乡村旅游发展瓶颈，创新精准扶贫模式，为太行山贫困带脱贫攻坚建言献策。,探索出京津冀协同发展背景下的太行山乡村旅游精准扶贫模式,独立作者，《京津冀协同发展背景下太行山片区乡村旅游精准扶贫对策研究》发表于《旅游纵览》2018年第7期中。,1537081426,省市级,,,,,,,,,
94,132,新沐光环保科技有限公司,以新型光触媒环保材料为主要产品，运营一家有限公司,,获得2018创青春省级三等奖,1537082030,省市级,,,,,,,,,
95,132,烁康保健科技有限公司,以光感应的保健养生仪器为核心产品，现已经有市场产品。,,获得2018创青春省级三等奖,1537082185,省市级,,,,,,,,,
97,132,体康至保健科技有限公司,通过互联网的共享、及时、便捷等特点与保健仪器显示相结合，安装手机APP，实时监测健康指数，为健康保驾护航。,,2018第四届河北省互联网+省级铜奖,1537083196,省市级,,,,,,,,,
102,132,论文,特色小镇,,独立作者《推进河北省特色小镇建设进程的问题及对策研究》发表于《当代旅游》。,,省市级,,,,,,,,,
103,132,大学生创新项目,应用互联网，多元设计乡村旅游的电子商务平台,乡村旅游电子商务平台综合服务平台的设计与开发,省级结项,1537085307,省市级,,,,,,,,,
104,206,寒冷地区城市广场的景观设计研究,将寒冷地区城市广场的景观设计从面积控制、冰雪景观、植物景观、夜间景观四个方面开展深入的探讨并提出了控制策略,从四个方面对寒地城市广场景观设计提出控制策略,马晨烁.寒冷地区城市广场的景观设计研究[J].现代园艺,,,,,,,,,,,
105,290,首届东北风景园林规划设计竞赛一等奖,2017-10，作为主创，设计作品《第八天——基于自给自足乌托邦构想下的综合性艺术村》获首届东北风景园林规划设计竞赛一等奖,《第八天——基于自给自足乌托邦构想下的综合性艺术村》,获首届东北风景园林规划设计竞赛一等奖,,国家级,,,,,,,,,
106,290,东北林业大学大学生创新训练项目,东北林业大学大学生创新训练项目负责人，研究课题为“黑龙江省国家森林公园人文景观资源调查研究,,,,,,,,,,,,,
107,298,触觉生成机制及其在交互界面设计中的应用,基于对人体生理知识的学习，设计出适合于用户触觉特点的触觉交互方式，并将其应用在视障者的自适应设备设计、主流消费品的人机界面设计中。,视障者的触觉感受规律及相关产品设计,两项实用新型专利一件作品入围河北工业设计奖团队成员在《设计》杂志发表论文一篇,,国家级,,,,,,,,,
108,298,格力电器校企合作项目,格力公司设计组半年的项目跟进，指导完成“风扇类”产品创意设计。,了解一件产品从设计到生产的过程,一套作品优秀奖,,省市级,,,,,,,,,
109,298,Nine-G艺术体验馆,采用线上+线下方式进行艺术类活动的体验学习，增加生活幸福感。,活动形式及运营方式,全国创新创业大赛河北赛区三等奖,,省市级,,,,,,,,,
110,298,赤兔点餐APP,与经管、软件学院同学一起开发一款为小成本商户的点餐APP,APP的界面设计,全国创青春大赛河北赛区二等奖,1537093675,省市级,,,,,,,,,
111,227,全国大学生创新创业训练计划项目,项目名称“产业政策与会计信息可比性对资本结构动态调整的影响研究”，担任负责人，获得国家级立项。,在产业政策不支持的情况下，企业提高会计信息可比性可以降低资本结构的调整成本，加快调整速度。,1.《产业政策、会计信息可比性与资本结构动态调整》（核心期刊）2.《浅析产业政策对微观企业行为的影响》（省级期刊）,1537151285,国家级,,,,,,,,,
115,227,美国大学生数学建模大赛,担任队长，获国际二等奖,不同介质对电磁波的传播速度有不同的影响,成功提交A题论文一篇,1537152748,国家级,,,,,,,,,
117,227,“挑战杯”全国大学生课外学术科技作品竞赛,担任队长，获校级二等奖,黑龙江省可从多方位发展自身的银发旅游业,完成作品《推动黑龙江省银发旅游发展新进程的对策研究——基于皖豫川陕黑辽六省的的调研报告》。,1537153011,省市级,,,,,,,,,
118,227,第三届“互联网+”大学生创新创业大赛,主要负责人，获校级二等奖,略,完成创业计划书《DH科技有限责任公司》一份。,1537153071,省市级,,,,,,,,,
119,285,三维人物建模和动画,利用课余时间学习Maya软件的人物建模和动画制作，最终通过剪辑软件合成一段完整动画视频。,,做出一段完整有剧情的动画,,,,,,,,,,,
120,353,全国美誉成果展演学生组,全国美誉成果展演学生组一等奖,无,无,1537162857,国家级,,,,,,,,,
121,354,student volunteer ,Dr. Jianping Wang's lab,,,,,,,,,,,,,
123,354,NPRs对于苹果的抗病性研究的分析,依附于导师课题组从事SRT项目（大学生研究训练）相关实验。遗憾的是，由于出国交换原因，此项目并未结题，实验终止于真菌病菌接种于苹果分生组织观测其抗病能力一步。,无,无,,,,,,,,,,,
124,356,《视频传输中的信息隐藏算法研究与实现》,研究目标：在Sipdroid平台下实现视频信息隐藏的功能。主要内容：首先采用H.263编码标准实现视频通话，然后加入隐藏算法，实现在视频通话的过程中进行秘密信息的传输。,成功嵌入算法，实现隐藏信息的插入与提取,《Sipdroid平台下的信息隐藏功能设计与实现》,1537163785,省市级,,,,,,,,,
125,357,科研立项,本文通过收集2012-2016年50家高科技上市公司及50家一般制造业上市公司的相关数据进行比较，以动态的视角分析问题，针对我国高科技企业资本结构存在的问题提出相应的优化对策。,我国高科技公司主要存在资产负债率较低，负债结构有失平衡等问题,发表论文《高科技企业资本结构存在的问题及对策研究》（第一作者）,,,,,,,,,,,
126,288,SHHX尽职调查审计项目,实习期间作为审计助理参加中化节能委托的企业并购审计项目，负责整理公司历史沿革、股权变更情况、抽取凭证、将公司同一期间各项财务指标与同行业其他企业进行对比等工作。,提交对被尽调单位调查结果的报告,出具审计报告,,,,,,,,,,,
127,357,科研立项,本文通过问卷的形式，探讨未来会计人才需求变革，并基于这一角度，对会计人才培养模式的改革与创新，实现会计人才供给侧改革进行了研究,会计教育改革应与时俱进，注重培养跨领域复合型人才等,发表论文《人工智能背景下会计学专业人才培养模式的创新与改革》（第三作者）,,,,,,,,,,,
128,357,科研项目,采用基于CRS和VRS的DEA模型，从产业总体角度，以及技术效率、纯技术效率以及规模效率三个层面对2012-2016年苏浙沪军民融合上市企业的融资效率进行全方位的评价分析,样本企业纯技术效率低是其融资效率水平低的主要原因,发表论文《苏浙沪军民融合上市企业融资效率评价》（第一作者）,,,,,,,,,,,
129,357,科研项目,选取“十大军工集团”中36家A股上市公司为研究对象，采用随机前沿B95模型，依据上市公司2012-2016年的面板数据，通过7个相关变量测度我国军工企业的技术效率。,股权集中度等与企业技术效率呈负相关，区域等与技术效率呈正相关,完成论文《上市军工企业技术效率测算及影响因素研究——基于180个总观测值》（在投稿中）,,,,,,,,,,,
130,266,2017花园杯植物景观设计大赛,选用内蒙古科技大学东门进行植物种植设计,植物景观改善校园环境,获得铜奖,1537187315,省市级,,,,,,,,,
131,179,墨西哥国际海报招贴大赛,在2017年举办的墨西哥国际海报招贴大赛，以“TO DEATH WITH A SMILE”为主题，在从全球征集的30000多幅作品中，选出500幅进行展览,海报设计,海报作品入选墨西哥国际海报展，并于墨西哥设计博物馆MUMEDI展出,1537187619,国家级,,,,,,,,,
132,179,朝阳市旅游整体形象标识,本次标识征集活动面向全国，共征集到120多幅作品，在我设计的标识中，将红山文化的玉猪龙和代表朝阳的凤凰相结合，表现了朝阳悠久的历史文化，因此获得了评委的青睐,标识设计,标识设计作品获一等奖,1537188047,省市级,,,,,,,,,
134,148,寒地水稻管理系统,为广大水稻种植者提供水稻种植的生长信息，过程中遇到病害的解决方法，在线解决种植的所遇到的问题。以实现水稻的高产、增产。,水稻生长过程中温度、土壤、耕作方式等对水稻增产的影响,根据不同地区推荐合适的水稻品种，为水稻种植者提供科学的水稻生长信息和种植管理方案，以及在种植过程中所遇到的问题进行在线解决。,,省市级,,,,,,,,,
137,193,2017中国厦门漆画展,两年一度的中国漆画展,中国传统文化在现代社会中的体现,认识到了漆画的神奇魅力，传统工艺的传承很重要。,1537192136,国家级,,,,,,,,,
138,231,《畜牧企业肉牛资产的会计计量与建议》,2017年5月独立完成并发表论文《畜牧企业肉牛资产的会计计量与建议》.黑龙江畜牧兽医（北大核心期刊） ,发表学术论文,重点探讨了历史成本法、公允价值法、可实现净值法的优势和局限，并提出灵活选择计量模式、推行会计电算化、规范会计做账方法等三种新型经济行为的会计处理方法。,,国家级,,,,,,,,,
140,231,《畜牧企业财务管理中的自然周期问题探究》,2017年独立完成并发表论文《畜牧企业财务管理中的自然周期问题探究》.黑龙江畜牧兽医（北大核心期刊）,发表学术论文,集中探究了在畜牧企业应如何适应财务管理中的自然周期问题，进而再求额范围内优化配置稀缺的资金资源,1537192975,国家级,,,,,,,,,
141,191,互联网+背景下城乡流通一体化研究,通过对阿里和京东两个互联网+农业企业当前流通方式的研究，找到当前城乡流通一体化现状进行分析，找到城乡流通一体化中存在的问题，最终找到解决对策。,农产品上行在“互联网+”的道路中还存在很多问题，应该大力加强物流基础设施的建设、小企业与大企业的融合，智能物流等。,论文,1537231754,省市级,,,,,,,,,
142,191,全球品牌策划大赛,对君乐宝企业常温酸奶进行品牌策划，推出二十四节气、十二生肖、梅兰竹菊三个具有中国特色的系列,品牌策划对企业的产品销售非常有意义，加入中国元素也会激发国人的购买欲望。,策划案,1537231971,国家级,,,,,,,,,
143,322,立体绿化全自控水肥一体化技术研究,通过设计研究、画CAD平面图、建3D模型、配置优化的营养液、利用一些植物和材料做实物模型的垂直绿化。,根据垂直绿化组合设计模式，植物配置各生长阶段的水肥特征，以按需供给原则，将水分和养分定时、定量、均匀、准确地输送到根部土壤。,论文：迷迭香水培诱导生根繁殖技术研究实用新型专利：一种立体绿化水肥一体化全自控灌溉装置,1537233540,国家级,,,,,,,,,
146,312,保定市创新县（市）特色科技小镇建设,此项目于2016年立项，预计2019年3月份结题。课题由三家单位（安国市科技局、河北农业大学课题组、长城汽车经济开发区管委会）联合进行。河北农业大学课题组负责保定安国市药业方面，首先根据相关评价指标开展的政策评价和政策分析；其次研究了安国中药一二三产业融合，通过三产融合将安国中药种植业、加工业、休闲旅游和大健康产业结合，延长安国药产业链条，实现产业链价值增值；最后是特色小镇的建设，利用安国中药特色产业发展特色小镇。,未结题,《以数字中药都增长极提速安国中药产业发展》《三权分置新政下土地流转对安国中药一二三产业融合影响探究》,,,,,,,,,,,
147,88,重庆厦门植物物种多样性与功能多样性的关系,通过对重庆市和厦门市城市木本植物的物种和功能性状的调查研究，分析物种多样性指数（丰富度指数、Shannon-Wiener多样性指数、Pielou均匀度指数 、Simpson 优势度指数）和功能多样性指数（功能性状距离FAD、功能性状平均距离MFAD 、功能均匀度指数FEve 、功能分散指数FDis、Ｒao二次熵指数FDQ），通过横向的纵向对比分析，研究物种多样性与功能多样性之间的关系,重庆市木本植物物种多样性和功能多样性均优于厦门市，总体趋势上，物种多样性与功能多样性呈正相关关系,“城市木本植物物种多样性与功能多样性关系研究————基于重庆市与厦门市比较分析”论文正在撰稿中..,,,,,,,,,,,
148,88,贵州息烽县鹿窝镇鹿龙村综合提升项目,西部高校第二届“岭南园林杯”竞赛项目，任组长，带领团队成员成员对基地进行分析研究，基于现状，以“海绵乡村”和“乡村文化旅游”为主题进行村庄规划与景观设计。调整乡村路网与水渠，规划民俗旅游小镇与居民住宅区，建设人工湿地与生态净水塘，集约农作物与果树林木生产，形成“生活-生态-生产-旅游”一体的现代化乡村。,乡土营建城市规划与风景园林研究领域有很大的研究与发展潜力，且要基于人民的想法、自然环境、文化背景和社会条件综合考虑。,成功完成设计作品展板，了解了以鹿龙村为代表的中国西南乡村的现状与发展机遇，对于乡村建设要从乡土条件出发、挖掘乡土因素，利用现代先进的技术与理念，充分展现乡土魅力。竞赛未获奖，但是收获很多。,,,,,,,,,,,
151,400,“挑战杯”全国大学生课外学术科技作品竞赛,3.在2017年，我与我的团队在指导老师的带领下参加了“挑战杯”大学生课外学术科技作品竞赛。我们的作品《快递包裹，绿色畅行：经济杠杆下的快递包装回收新模式---基于大连市16所高校的调研分析》获得了省级二等奖。,《快递包裹，绿色畅行：经济杠杆下的快递包装回收新模式---基于大连市16所高校的调研分析》,《快递包裹，绿色畅行：经济杠杆下的快递包装回收新模式---基于大连市16所高校的调研分析》,1537236885,省市级,,,,,,,,,
153,199,长春水文化生态公园现场勘测与植被资源调查,对原生境的植被进行调查，并对原有植被资源进行现状分析与评估，为水文化园的规划设计提供依据。,,在原有植被资源的基础上增加具有长白山特色的树木，突出生物多样性；在种植规划方面，表现出季节性、层次性、色彩的变化 ；在文化方面，结合名树古树的宣传保护塑造人文景观；最后打造稳定的人工群落。,,,,,,,,,,,
154,199,全国冬态树种形体识别与观赏价值的研究,该活动属于专业内部组织的自主学习活动。通过查阅书籍、网络，以及来自全国各地的同学调查，对全国不同区域（主要是长江以北）的主要冬态树种形态识别和观赏价值进行总结，了解其冬季景观特征、树种文化、景观规划设计等，并根据其应用情况提出改良建议。,,对全国各区域的冬态树种进行了总结。建议应加强各地对冬态植物景观的应用程度，注重乡土树种，突出地方性冬态特色。加强树木结合当地气候条件，文化情况，建筑特色等的综合应用，体现人与自然的和谐。,,,,,,,,,,,
155,199,“多肉植物的繁殖与市场营销”活,了解东北地区多肉植物的品种，学习多肉植物的繁殖养护知识。在长春消夏节期间进行售卖活动。,,学习到多肉植物的繁殖养护知识及长春地区的主要品种。,,,,,,,,,,,
156,199,国家励志奖学金,2016-2017学年国家励志奖学金,,2016-2017学年国家励志奖学金,1537238942,国家级,,,,,,,,,
157,88,西藏欠堆村和格玛村乡村规划,参与了西藏乡村规划项目中国的两个村子，一个是隆子县加玉乡欠堆村，在充分了解欠堆村的现状及规划之后在老师的指导下完成撰写欠堆村的规划说明书；另一个是猎勤县磁石乡格玛村，与另一名同学一起对格玛村进行了路网及其他的功能区域和设施的初步规划，此后老师对其进一步调整与修改。,西藏乡村自然条件恶劣、基础设施欠缺、劳动人口缺乏，但文化历史内涵丰富，应在完善基础设施的条件上利用乡土基质与文化元素创造新的机遇,完成了欠堆村的规划说明书与格玛村的初期规划。了解到西藏乡村，尤其是在边境的西藏乡村，一方面由于相关福利政策少，另一方面由于当地的自然地理条件受限，整体发展相对落后，这对于风景园林与城市规划来说是很大的挑战与机遇，这是应该去尝试的方向。,,,,,,,,,,,
159,199,长春新闻奖“新闻专题类优秀奖”,作品《光影农大 深秋絮语》在第26届长春新闻奖评选中获得“新闻专题类优秀奖”。,,长春新闻奖“新闻专题类优秀奖”,1537239486,省市级,,,,,,,,,
160,397,创新创业-压花；牡丹组织培养,大二期间，我与同学参加了院里举办的创新创业项目——压花，熟练地掌握了不同植物材料的形态特性，并且锻炼了动手能力；参与了校园植物标本的制作，制作的标本于植物园展览。大三我申请进入园林植物与观赏园艺组培实验室，参与了牡丹鳞芽组织培养的课题研究，关于“牡丹试管苗生根困难”的问题查阅了许多文献，并参与了牡丹试管苗培养过程。,,创新创业项目结项,,,,,,,,,,,
