honour_id,uid,honour_name,specificdesc,certificate,certificate_level,honour_at,create_at
41,9,全国大学生数学建模,国家级本科组二等奖,public/img/stu/9/honour/9_4038611a.jpeg,国家级,Nov-17,2019/9/12 2:39
42,9,全国大学生英语竞赛,c类三等奖,public/img/stu/9/honour/9_f78966ca.jpeg,国家级,Jun-17,2019/9/12 2:40
43,9,挑战杯学术科技竞赛,省赛三等奖,,省市级,May-19,2019/9/12 2:41
44,9,云南省政府奖学金,,public/img/stu/9/honour/9_1a040717.jpeg,省市级,Dec-18,2019/9/12 2:41
45,9,外研社写作大赛一等奖,,,校级,Oct-18,2019/9/12 2:43
46,9,云南民族大学三好学生,,,校级,Nov-17,2019/9/12 2:44
47,9,学术科技奖学金,,,校级,Nov-18,2019/9/12 2:44
49,20,四川省风景园林竞赛,四川省大学生风景园林设计竞赛三等奖（个人）,public/img/stu/20/honour/20_f322fd00.png,省市级,Jun-19,2019/9/12 3:22
50,20,挑战杯,第十六届“挑战杯”全国大学生课外学术 科技作品竞赛校内预选赛特等奖,public/img/stu/20/honour/20_6236faa3.jpeg,校级,Apr-19,2019/9/12 3:23
51,20,水土保持景观大赛,水土保持与生态景观设计大赛一等奖,public/img/stu/20/honour/20_9561c710.jpeg,校级,Sep-17,2019/9/12 3:25
52,33,学业二等奖学金,2017年至2018年大二年级学业二等奖学金,public/img/stu/33/honour/33_f786b9d5.jpeg,校级,Dec-18,2019/9/12 3:26
53,20,“野趣杯”景观大赛,“野趣生境杯”生态景观设计大赛一等奖,public/img/stu/20/honour/20_190e9c61.jpeg,校级,Apr-18,2019/9/12 3:29
54,20,优秀共青团员,2016-2017学年度“优秀共青团员”,public/img/stu/20/honour/20_cebb07da.jpeg,校级,May-17,2019/9/12 3:30
55,20,优秀学生,2016-2017学年度“优秀学生”,public/img/stu/20/honour/20_5ad585e0.jpeg,校级,Nov-17,2019/9/12 3:31
56,20,优秀共青团干部,2017-2018学年度“优秀共青团干部”,public/img/stu/20/honour/20_dd9dd944.jpeg,校级,May-18,2019/9/12 3:31
57,20,社会实践先进个人,2017年暑期“三下乡”社会实践活动“先进个人”,public/img/stu/20/honour/20_20cee900.jpeg,校级,Sep-17,2019/9/12 3:35
58,38,全国大学生英语竞赛,全国大学生英语竞赛三等奖,,国家级,May-19,2019/9/12 3:59
59,38,财务决策大赛,第六届“网中网杯”大学生财务决策大赛获校级三等奖,,校级,May-18,2019/9/12 4:03
60,38,三好学生,校三好学生，优秀学生干部,,校级,Dec-18,2019/9/12 4:04
61,38,三好学生标兵,校三好学生标兵,,校级,Dec-17,2019/9/12 4:05
62,38,优秀团员,五四优秀团员,,校级,May-18,2019/9/12 4:08
63,38,校一等奖学金,2016-2017学年共获2次,,校级,Jun-17,2019/9/12 4:09
64,38,校二等奖学金,2017-2018学年共获两次,,校级,Jun-18,2019/9/12 4:10
65,40,国家奖学金,,public/img/stu/40/honour/40_c4ae55a9.jpeg,国家级,Nov-18,2019/9/12 4:15
66,40,国家励志奖学金,,public/img/stu/40/honour/40_0b84ad55.jpeg,国家级,Nov-17,2019/9/12 4:16
68,40,青春三下乡社会实践先,带领团队成员赴周口张庄进行安全教育关爱活动。,public/img/stu/40/honour/40_18e329d0.jpeg,校级,Dec-17,2019/9/12 4:19
69,41,校三好学生,,public/img/stu/41/honour/41_1ddce556.png,校级,Dec-17,2019/9/12 4:19
70,41,北林丽景科技创新奖,,public/img/stu/41/honour/41_af2975d2.jpeg,校级,Dec-18,2019/9/12 4:21
71,41,优秀心理委员,,public/img/stu/41/honour/41_dca3a3f3.jpeg,院级,Dec-18,2019/9/12 4:23
72,41,梁希学子三等奖,,public/img/stu/41/honour/41_de3d3dd9.png,校级,Dec-17,2019/9/12 4:41
74,41,梁希学子三等奖（2）,,public/img/stu/41/honour/41_399441f9.png,校级,Dec-18,2019/9/12 4:43
76,47,校级二等奖学金,成绩优秀,public/img/stu/47/honour/47_2b84a3c0.jpeg,校级,Dec-17,2019/9/12 4:44
77,47,校级一等奖学金,成绩优秀,public/img/stu/47/honour/47_0aeb32f9.jpeg,校级,Dec-18,2019/9/12 4:45
78,47,校级三好学生,表现突出,public/img/stu/47/honour/47_85d1f7c1.jpeg,校级,Dec-18,2019/9/12 4:46
80,47,三创赛校级二等奖,2018年第八届全国大学生电子商务“创新、创意及创业”挑战赛河北大学校赛选拔赛，获校级二等奖。,public/img/stu/47/honour/47_1efc939e.jpeg,校级,Apr-18,2019/9/12 4:48
85,58,西南大学奖学金,2016-2017  校级三等奖学金,public/img/stu/58/honour/58_03805dc7.png,校级,Sep-17,2019/9/12 5:24
86,58,西南大学奖学金2,2017-2018 校级三等奖学金,public/img/stu/58/honour/58_8cc6d573.png,校级,Sep-18,2019/9/12 5:29
87,25,2018年度黄岛园林杯,2018年度山东省大学生“黄岛园林杯”风景园林优秀设计（论文）大赛,public/img/stu/25/honour/25_bddc8de5.jpeg,省市级,Nov-18,2019/9/12 5:31
88,58,园冶杯优秀志愿者,第八届园冶杯国际竞赛评审会  优秀志愿者,public/img/stu/58/honour/58_13af10b3.png,其他,Nov-17,2019/9/12 5:32
89,25,2014-2015年优秀学生,2014-2015年优秀学生,,校级,Sep-15,2019/9/12 5:38
90,25,2014-2015一等奖学金,,,校级,Sep-15,2019/9/12 5:39
91,63,大学生英语竞赛二等奖,,public/img/stu/63/honour/63_88bd163b.jpeg,国家级,Mar-19,2019/9/12 5:41
92,63,光电设计创新创业银奖,,public/img/stu/63/honour/63_39b6bbf0.jpeg,省市级,Jul-19,2019/9/12 5:42
93,63,互联网+创新创业银奖,,public/img/stu/63/honour/63_de27e778.jpeg,省市级,Sep-18,2019/9/12 5:43
94,63,大学生综合素质A级证,,public/img/stu/63/honour/63_65022ed6.jpeg,省市级,Jun-19,2019/9/12 5:43
95,63,BEC商务英语中级证书,,public/img/stu/63/honour/63_b1f0ecc6.jpeg,国家级,Jun-18,2019/9/12 5:44
96,25,2014-2015优秀团员,,,校级,Sep-15,2019/9/12 5:54
97,66,校级三好学生,,public/img/stu/66/honour/66_406e76ed.jpeg,校级,Nov-17,2019/9/12 6:14
98,66,专业一等奖学金,,public/img/stu/66/honour/66_35d6633d.jpeg,校级,Nov-17,2019/9/12 6:16
99,66,国家励志奖学金,,public/img/stu/66/honour/66_4b34b654.jpeg,校级,Oct-18,2019/9/12 6:17
100,66,“互联网+”省级铜奖,“互联网+”大学生创新创业大赛省级铜奖,public/img/stu/66/honour/66_107bd92a.jpeg,省市级,Aug-17,2019/9/12 6:18
101,66,大学生英语竞赛二等奖,全国大学生英语竞赛C类二等奖,public/img/stu/66/honour/66_6fa8f8a2.jpeg,国家级,May-18,2019/9/12 6:29
102,66,校三好,大二学年校级三好学生,public/img/stu/66/honour/66_08bac66f.jpeg,校级,Oct-18,2019/9/12 6:30
103,66,世纪之星三等奖,河北师范大学“世纪之星”英语阅读比赛，获得非专业组三等奖,public/img/stu/66/honour/66_76b770b6.jpeg,校级,Nov-17,2019/9/12 6:31
104,66,evc二等奖,全国高校企业价值创造实战竞赛-校内赛二等奖,public/img/stu/66/honour/66_df132763.jpeg,校级,Dec-18,2019/9/12 6:31
105,55,国家励志奖学金,,public/img/stu/55/honour/55_aab50dd7.jpeg,国家级,Nov-18,2019/9/12 6:32
106,66,挑战杯三等奖,河北师范大学“挑战杯”课外学术科技作品竞赛，获得三等奖,public/img/stu/66/honour/66_d5f81064.jpeg,校级,Apr-19,2019/9/12 6:32
108,66,商务英语口语三等奖,河北师范大学商务英语口语大赛，获得三等奖,public/img/stu/66/honour/66_33787388.jpeg,校级,May-17,2019/9/12 6:33
110,55,校二等奖学金,,public/img/stu/55/honour/55_7f3a08ab.jpeg,校级,Dec-17,2019/9/12 6:38
111,55,校三好学生,,public/img/stu/55/honour/55_35faab78.jpeg,校级,Dec-18,2019/9/12 6:40
112,55,精神文明先进个人,,public/img/stu/55/honour/55_1e7360b3.jpeg,校级,Dec-17,2019/9/12 6:41
119,40,三好学生,,public/img/stu/40/honour/40_c8a1aa34.jpeg,校级,May-18,2019/9/12 7:13
123,73,国家励志奖学金,,public/img/stu/73/honour/73_01c1afe9.jpeg,国家级,Nov-17,2019/9/12 7:21
124,81,国家奖学金,,public/img/stu/81/honour/81_d6b5a9d4.jpeg,国家级,Nov-18,2019/9/12 7:39
125,81,人民一等奖学金,,public/img/stu/81/honour/81_183b1c2a.jpeg,校级,Nov-18,2019/9/12 7:43
126,81,优秀大学生,,public/img/stu/81/honour/81_2246b1e2.jpeg,校级,Nov-18,2019/9/12 7:46
127,81,优秀团员,,public/img/stu/81/honour/81_da97d434.jpeg,校级,May-18,2019/9/12 7:47
128,81,优秀志愿者,,public/img/stu/81/honour/81_d16dc307.jpeg,其他,Mar-18,2019/9/12 7:48
130,86,专业三等奖学金,,public/img/stu/86/honour/86_20941f0f.jpeg,校级,Sep-17,2019/9/12 8:14
132,86,校级优秀青年志愿者,,public/img/stu/86/honour/86_5e028232.jpeg,校级,Oct-17,2019/9/12 8:16
133,86,优秀个人,,public/img/stu/86/honour/86_1e5cadb6.jpeg,校级,Oct-17,2019/9/12 8:17
134,86,时政演讲三等奖,,public/img/stu/86/honour/86_be5c7943.jpeg,院级,Dec-17,2019/9/12 8:19
135,86,物流技能二等奖,,public/img/stu/86/honour/86_49f134a7.jpeg,院级,Apr-18,2019/9/12 8:19
136,86,桥牌比赛二等奖,,public/img/stu/86/honour/86_0b3b9d09.jpeg,校级,May-18,2019/9/12 8:19
137,86,读书之星,,public/img/stu/86/honour/86_b8ef3eb7.jpeg,院级,Sep-18,2019/9/12 8:20
138,64,暑期社会实践积极分子,在东北林业大学2018年暑期社会实践中表现优秀。,public/img/stu/64/honour/64_4ab76b3f.jpeg,校级,Dec-18,2019/9/12 8:29
139,64,北林夏令营优秀营员,在2019年北京林业大学优秀学生暑期夏令营中，得优秀营员荣誉称号。,public/img/stu/64/honour/64_6e969648.jpeg,校级,Jul-19,2019/9/12 8:34
140,84,全国三维设计大赛,获得全国三维数字化创新设计大赛四川省一等奖,public/img/stu/84/honour/84_0ab77a90.jpeg,省市级,Oct-18,2019/9/12 8:38
141,84,全国大学生广告大赛,获得全国第十届大学生广告艺术大赛四川省一等奖,public/img/stu/84/honour/84_609b582c.jpeg,省市级,Oct-18,2019/9/12 8:39
142,84,服务外包创新创业大赛,获得服务外包创新创业大赛优胜奖,public/img/stu/84/honour/84_211171c3.jpeg,校级,Jan-18,2019/9/12 8:40
143,92,北京林业大学优秀团员,,,校级,May-19,2019/9/12 8:43
144,92,校三好学生,连续两年获校三好学生,,校级,Dec-18,2019/9/12 8:44
145,92,大学生艺术展演金奖,,,国家级,Apr-18,2019/9/12 8:46
146,92,校十大优秀志愿者提名,,,校级,Dec-17,2019/9/12 8:47
147,94,大学生数学建模竞赛,2019年吉林省大学生数学建模竞赛三等奖（证书没下来）,,省市级,May-19,2019/9/12 9:05
148,94,朴杰奖学金,前0.1%,public/img/stu/94/honour/94_c31c3e5f.jpeg,校级,May-18,2019/9/12 9:08
150,37,优秀学生干部,校优秀学生干部,public/img/stu/37/honour/37_69239551.jpeg,校级,Dec-18,2019/9/12 10:03
151,37,一等奖学金,学习成绩突出,public/img/stu/37/honour/37_12300441.jpeg,校级,Dec-18,2019/9/12 10:05
152,37,北京市大学生工业设计,北京市大学生工业设计大赛一等奖,public/img/stu/37/honour/37_f375db44.jpeg,省市级,Sep-19,2019/9/12 10:07
153,37,学习进步奖学金,学习进步奖学金,public/img/stu/37/honour/37_0416cdc1.jpeg,校级,Dec-18,2019/9/12 10:08
154,37,教育设计优秀奖,教育设计晋级赛最具应用前景优秀奖,public/img/stu/37/honour/37_111ea87b.jpeg,省市级,Jan-19,2019/9/12 10:11
155,109,优秀宣传委员,2019年5月于校“达标创优”活动中获评“优秀宣传委员”称号,,校级,May-19,2019/9/12 11:21
156,110,优秀义务兵,2018.6 因训练成绩优秀，工作突出，荣获旅嘉奖，授优秀义务兵,public/img/stu/110/honour/110_1a147305.jpeg,其他,Jun-18,2019/9/12 11:49
157,115,盛彤笙二等奖学金,,,校级,Dec-17,2019/9/13 12:39
158,115,三好学生,,,校级,Dec-17,2019/9/13 12:42
160,115,学宪法，讲宪法,演讲比赛二等奖,,院级,Sep-17,2019/9/13 12:47
161,115,国家励志奖学金,,,省市级,Nov-18,2019/9/13 12:49
162,115,“三好学生”称号,,,校级,Nov-18,2019/9/13 12:52
163,119,国家励志奖学金,,public/img/stu/119/honour/119_5a095826.jpeg,省市级,Dec-18,2019/9/13 12:54
165,115,普通话水平测试,二级乙等,,省市级,Jun-17,2019/9/13 12:55
166,119,创青春大学生创业大赛,创青春大学生创业大赛省赛铜奖,public/img/stu/119/honour/119_cc166ee1.jpeg,省市级,May-18,2019/9/13 12:56
168,115,计算机二级,,,国家级,Mar-18,2019/9/13 12:58
175,120,国家奖学金,2016-2017学年结束，500余人中作为大一升大二唯一学生获得此项奖励。,public/img/stu/120/honour/120_7dfe0fc5.jpeg,国家级,Nov-17,2019/9/13 1:14
176,120,国家励志奖学金,学习成绩优秀，道德品质优良。艰苦奋斗，孜孜不倦。,public/img/stu/120/honour/120_c2f33d67.jpeg,国家级,Oct-18,2019/9/13 1:15
177,120,第四届“东方财富杯”,我作为团队负责人，操盘手和队员风控师、研究员。三人组成团队，在接近2个月的比赛中孜孜不倦，通过分析大盘行情以及运用所学知识，进行第一次的证券投资实践运用，收获很大。,public/img/stu/120/honour/120_916da3c2.jpeg,国家级,Dec-18,2019/9/13 1:19
178,120,第十届挑战杯,作品“河北省威县、平乡县、魏县”‘脱贫摘帽’验收评估调研报告为集体作品。我作为本科生参与到了研究生学长的项目中，在项目中主要负责后期作品的格式调整以及作品申报。,public/img/stu/120/honour/120_5ba12d4b.jpeg,省市级,Jun-19,2019/9/13 1:24
179,120,2019互联网+,该比赛为2019年6月举办，我作为团队的CFO，主要负责商业计划书的撰写和整个团队的协作沟通安排。,public/img/stu/120/honour/120_672c3cb0.jpeg,校级,Jun-19,2019/9/13 1:25
181,124,奖学金,在2016至2017年，获河北大学优秀学生奖学金一等奖。,public/img/stu/124/honour/124_6c2e62aa.jpeg,校级,Dec-17,2019/9/13 1:29
182,120,证券从业金融市场基础,我是一名转专业学生，大二初转到财务专业以后，通过自学相关知识，于2017年12月证券业协会颁发成绩合格证书,public/img/stu/120/honour/120_47f5e9a0.png,其他,Dec-17,2019/9/13 1:30
183,124,三好学生,在2016至2017年，被评为河北大学三好学生。,public/img/stu/124/honour/124_ed54c4da.jpeg,校级,Dec-17,2019/9/13 1:30
184,120,证券从业法律法规,我是一名转专业学生，大二初转到财务专业以后，通过自学相关知识，于2017年12月证券业协会颁发成绩合格证书,public/img/stu/120/honour/120_58b83989.png,其他,Dec-17,2019/9/13 1:31
185,124,优秀共青团员,在2016至2017学年中，被评为河北大学优秀共青团员。,public/img/stu/124/honour/124_904acf17.jpeg,校级,May-17,2019/9/13 1:31
186,120,学习优秀奖学金一等奖,大一学年以专业第一名成绩获得此项奖励,public/img/stu/120/honour/120_b87a6f74.jpeg,校级,Jan-18,2019/9/13 1:32
188,124,一等奖学金,在2017至2018年，获河北大学优秀学生奖学金一等奖。,public/img/stu/124/honour/124_d945d1b1.jpeg,校级,Dec-18,2019/9/13 1:35
189,120,大学生创业设计竞赛,我作为团队组长，带领团队以“新零售超市线上连接平台”项目获得校级一等奖,public/img/stu/120/honour/120_c52b7adb.jpeg,校级,Dec-17,2019/9/13 1:36
190,132,全国大学生英语竞赛,2019年全国大学生英语竞赛C类三等奖,public/img/stu/132/honour/132_36bd973e.jpeg,国家级,May-19,2019/9/13 1:36
191,124,校级三好学生,在2017至2018年，被评为河北大学三好学生。,public/img/stu/124/honour/124_1fbcab4d.jpeg,校级,Dec-18,2019/9/13 1:37
192,120,国际企业管理挑战赛,该项目我作为组员参与，主要是负责报表测算，细节把控。,public/img/stu/120/honour/120_8a86ff2c.jpeg,校级,Nov-18,2019/9/13 1:37
193,124,优秀共青团干部,在2017至2018学年中，被评为河北大学优秀共青团干部。,public/img/stu/124/honour/124_993d8196.jpeg,校级,May-18,2019/9/13 1:38
194,132,正大杯市场调查与分析,2019年4月以参赛作品《开封市旅游年卡市场需求现状研究-基于开封市在校大学生的调查与分析》获得“正大杯”全国大学生市场调查与分析大赛省级二等奖,public/img/stu/132/honour/132_d86715f4.jpeg,省市级,Apr-19,2019/9/13 1:38
195,120,大学生创意竞赛,我作为组长，以“超零商业计划”策划书项目获得校级二等奖。,public/img/stu/120/honour/120_e616cd34.jpeg,校级,Dec-18,2019/9/13 1:39
196,132,河南大学三好学生,2017-2018学年中综合表现优秀，获得河南大学三好学生,public/img/stu/132/honour/132_3fc959fa.jpeg,校级,Nov-18,2019/9/13 1:40
197,132,河南大学奖学金,2017-2018学年学习成绩优异，荣获河南大学奖学金,public/img/stu/132/honour/132_a9ac5910.jpeg,校级,Nov-18,2019/9/13 1:40
198,120,科技创新奖学金,大二学年积极参加相关创新类比赛获得此项奖励,public/img/stu/120/honour/120_b4e91fc4.jpeg,校级,Jan-19,2019/9/13 1:41
200,120,社会贡献奖学金,作为财务1604班班长，工作认真，得到认可。因此获得奖励。,public/img/stu/120/honour/120_06b4e12d.jpeg,校级,Jan-19,2019/9/13 1:41
201,132,河南大学优秀学生干部,2017-2018学年中，在班级工作中认真负责，被评为优秀学生干部,public/img/stu/132/honour/132_23e0b2a5.jpeg,校级,Nov-18,2019/9/13 1:41
202,124,知识竞赛三等奖,2018年1月，担任负责人，在河北大学学习党的十九大精神知识竞赛中获三等奖。,public/img/stu/124/honour/124_8b1aa626.jpeg,校级,Jan-18,2019/9/13 1:42
203,120,优秀学生教学信息员,作为财务1604班班长，同时为学校教务处信息员，积极开展工作，得到学校教务处的认可，因此颁发此证书，以鼓励。,public/img/stu/120/honour/120_1322aa20.jpeg,校级,Oct-18,2019/9/13 1:43
204,132,2河南大学三好学生,2016-2017学年中综合表现优秀，荣获河南大学三好学生,public/img/stu/132/honour/132_bb009a2e.jpeg,校级,Nov-17,2019/9/13 1:45
205,120,社会实践创新大赛,本人唯一作者作品《社交网络中的亲密关系》在思想政治理论课社会实践创新大赛中获得校级二等奖,public/img/stu/120/honour/120_b02081da.jpeg,校级,Dec-18,2019/9/13 1:45
206,133,国家奖学金,,public/img/stu/133/honour/133_4b5693b0.jpeg,国家级,Nov-18,2019/9/13 1:45
207,132,2河南大学奖学金,2016-2017学年中学习成绩优秀，荣获河南大学奖学金,public/img/stu/132/honour/132_1a4b8946.jpeg,校级,Nov-17,2019/9/13 1:46
208,120,优秀团员,鉴于本人于206-2017学年表现优异，通过班上民主推选，获得此项奖励。,public/img/stu/120/honour/120_71dbf31a.jpeg,校级,Jun-18,2019/9/13 1:46
209,133,校级三好学生,,public/img/stu/133/honour/133_c5a592ce.jpeg,校级,Nov-18,2019/9/13 1:47
212,120,习近平用典演讲比赛,本人作品《千磨万击还坚韧，任尔东西南北风》在演讲比赛中获得校级二等奖,public/img/stu/120/honour/120_7edabd0d.jpeg,校级,Jun-18,2019/9/13 1:48
213,120,习近平用典比赛,本人凭借优秀的临场表现获得最佳风采奖,public/img/stu/120/honour/120_2f546b07.jpeg,校级,Jun-18,2019/9/13 1:48
214,132,河南大学市场调查分析,"3.	2018年以参赛作品《高校聚宝盆？开封市高校商业街微观主体经营状况调查报告》获得第一届河南大学大学生市场调查与分析大赛优秀奖",public/img/stu/132/honour/132_e0c4d99b.jpeg,校级,Jun-18,2019/9/13 1:49
215,139,国家奖学金,,public/img/stu/139/honour/139_cbc639a9.jpeg,国家级,Nov-18,2019/9/13 1:49
216,120,文体奖学金,本人积极参加学校组织的文化艺术活动且获得奖励，因此获得此项奖励,public/img/stu/120/honour/120_e1af4894.jpeg,校级,Jan-19,2019/9/13 1:50
217,132,我与资助微故事大赛,2018年获得河南大学第三届“我与资助”微故事大赛三等奖,public/img/stu/132/honour/132_34bc5ddf.jpeg,校级,May-18,2019/9/13 1:50
218,49,花园节建造奖,作品《卧云端》在第二届“北林国际花园建造节”中获得建造奖,,国家级,May-19,2019/9/13 1:52
219,139,北京市数学竞赛一等奖,,public/img/stu/139/honour/139_5c661f54.jpeg,省市级,Nov-18,2019/9/13 1:52
220,120,2019互联网+比赛,作为该团队商业计划书撰写咨询，主要提供了一些计划书撰写意见和商业模式的梳理,public/img/stu/120/honour/120_487ef863.jpeg,校级,Jun-19,2019/9/13 1:53
221,139,GMC国际企业管理挑战,,public/img/stu/139/honour/139_67b8290d.jpeg,国家级,Jan-19,2019/9/13 1:53
222,144,创业大赛,第四届“互联网＋”大学生创新创业大赛全国三等奖,public/img/stu/144/honour/144_98625320.jpeg,国家级,Oct-18,2019/9/13 1:53
223,139,全国大学生沙盘模拟大,,public/img/stu/139/honour/139_55d22e97.jpeg,国家级,Jun-18,2019/9/13 1:53
224,120,学习优秀奖学金,2017-2018学年转专业至财务管理后，以专业第二名的成绩获得此项奖励,public/img/stu/120/honour/120_643166e6.jpeg,校级,Jan-19,2019/9/13 1:54
225,139,北马优秀个人志愿者,,public/img/stu/139/honour/139_5e63b8c4.jpeg,省市级,Oct-18,2019/9/13 1:55
226,139,全国三下乡优秀团队,,public/img/stu/139/honour/139_442684c2.jpeg,国家级,Oct-18,2019/9/13 1:56
227,121,物理理论竞赛 一等奖,浙江省大学生物理创新（理论）竞赛一等奖,public/img/stu/121/honour/121_21f6e59d.jpeg,省市级,Jan-18,2019/9/13 1:56
228,120,我为“言”值演讲比赛,演讲比赛获奖,public/img/stu/120/honour/120_3a39d519.jpeg,院级,Dec-17,2019/9/13 1:56
229,49,农园设计大赛一等奖,作品《枕流谷》在第五届“休闲农园景观规划设计大赛”中获得一等奖（第一名）,public/img/stu/49/honour/49_8c218b9a.jpeg,校级,Nov-18,2019/9/13 1:56
230,139,校级“三好学生”,分别获得2016-2017学年及2017-2018学年校级三好学生,public/img/stu/139/honour/139_a74fc43f.jpeg,校级,Dec-17,2019/9/13 1:57
231,139,青年五四奖章,,public/img/stu/139/honour/139_78a439d4.jpeg,校级,May-19,2019/9/13 1:58
232,120,企业实习评价,本人于北京汇思创杰管理咨询有限公司实习接近三年，获得企业总经理的认可，其开具了实习评价,public/img/stu/120/honour/120_c5e98c89.jpeg,其他,Aug-18,2019/9/13 1:58
233,121,校书画大赛 二等奖,校“感恩季”书画作品大赛二等奖,public/img/stu/121/honour/121_b1d8d1d8.jpeg,校级,Jun-19,2019/9/13 1:59
234,121,社会实践 优胜奖,杭州电子科技大学寒假社会实践优胜奖,public/img/stu/121/honour/121_d3cd7782.jpeg,校级,Apr-17,2019/9/13 2:00
236,49,农高会志愿者纪念证,被选拔为第二十五届中国杨凌农业高新科技成果博览会志愿者，并获得志愿者纪念证书,public/img/stu/49/honour/49_09b5954a.jpeg,国家级,Nov-18,2019/9/13 2:03
237,121,浙江省政府奖学金,,public/img/stu/121/honour/121_1f70df8e.jpeg,省市级,Dec-18,2019/9/13 2:03
238,125,国家励志奖学金,2016-2017年度,public/img/stu/125/honour/125_68757005.jpeg,国家级,Dec-17,2019/9/13 2:03
239,125,校级一等奖学金,2016-2017年度,public/img/stu/125/honour/125_3e9c31d0.jpeg,校级,Dec-17,2019/9/13 2:05
240,125,校级三好学生,2016-2017年度,public/img/stu/125/honour/125_44e2d1c5.jpeg,校级,Dec-17,2019/9/13 2:06
